Kanji,Kana,Romaji,Type,Meaning,Tone,Example Sentence,Example Translation
消す,けす,kesu,动词(他),消除;关灯,0,テレビを消す。,关电视。
切れる,きれる,kireu,动词(自),断掉;过期,2,賞味期限が切れる。,过了保质期。
切る,きる,kiru,动词(他),切;断开,1,紙を切る。,剪纸。
閉まる,しまる,shimaru,动词(自),关闭,2,店が閉まっている。,店关着。
閉める,しめる,shimeru,动词(他),关上,2,窓を閉める。,关窗户。
育つ,そだつ,sodatsu,动词(自),成长;发育,2,子供がすくすくと育つ。,孩子茁壮成长。
育てる,そだてる,sodateru,动词(他),养育;培养,3,花を育てる。,种花。
倒れる,たおれる,taoreru,动词(自),倒下;倒闭,3,台風で木が倒れた。,树被台风吹倒了。
倒す,たおす,taosu,动词(他),弄倒;打倒,2,花瓶を倒す。,弄翻花瓶。
助かる,たすかる,tasukaru,动词(自),获救;省力,3,命が助かる。,保住了性命。
助ける,たすける,tasukeru,动词(他),营救;帮助,3,困っている人を助ける。,帮助困难的人。
付く,つく,tsuku,动词(自),带有;附着,1,汚れが付く。,沾上污渍。
付ける,つける,tsukeru,动词(他),安装;写下;打开(电器),2,日記を付ける。,记日记。
伝わる,つたわる,tsutawaru,动词(自),传达;流传,0,気持ちが相手に伝わる。,心情传达给了对方。
伝える,つたえる,tsutaeru,动词(他),转达;传授,0,メッセージを伝える。,传达信息。
続く,つづく,tsuduku,动词(自),持续;连续,0,雨が三日間続く。,雨连续下了三天。
続ける,つづける,tsudukeru,动词(他),继续;维持,0,勉強を続ける。,继续学习。
届く,とどく,todoku,动词(自),送到;及于,2,荷物が届く。,包裹送到了。
届ける,とどける,todokeru,动词(他),送到;递送;申报,3,忘れ物を警察に届ける。,把捡到的东西交给警察。
並ぶ,ならぶ,narabu,动词(自),排队;并列,0,入口に人が並んでいる。,门口有人在排队。
並べる,ならべる,naraberu,动词(他),排列;摆放,0,机の上に本を並べる。,在桌上摆放书本。
脱げる,ぬげる,nugeru,动词(自),脱落;掉下,2,靴が脱げてしまった。,鞋子掉了。
脱ぐ,ぬぐ,nugu,动词(他),脱下(衣、鞋),1,靴を脱いで上がる。,脱鞋进屋。
残る,のこる,nokoru,动词(自),残留;剩余,2,料理が少し残っている。,菜还剩一点。
残す,のこす,nokosu,动词(他),留下;剩下,2,ご飯を残さず食べる。,不剩饭，全部吃完。
冷える,ひえる,hieru,动词(自),变冷;感觉凉,2,夜は体が冷える。,晚上身体发冷。
冷やす,ひやす,hiyasu,动词(他),冰镇;冷却,2,ビールを冷やしておく。,把啤酒冰镇好。
増える,ふえる,fueru,动词(自),增加,2,体重が増えた。,体重增加了。
増やす,ふやす,huyasu,动词(他),增加;增多,2,貯金を増やす。,增加存款。
減る,へる,heru,动词(自),减少,0,人口が減っている。,人口正在减少。
減らす,へらす,herasu,动词(他),减少;削减,0,無駄遣いを減らす。,减少浪费。
曲がる,まがる,magaru,动词(自),弯曲;转弯,0,角を右に曲がる。,在拐角往右转。
曲げる,まげる,mageru,动词(他),弄弯;歪曲,0,針金を曲げる。,弄弯金属丝。
見つかる,みつかる,mitsukaru,动词(自),被发现;找到,0,いい仕事が見つかった。,找到了好工作。
見つける,みつける,mitsukeru,动词(他),寻找;发现,0,間違いを見つける。,发现错误。
焼ける,やける,yakeru,动词(自),烧焦;烤熟;晒黑,0,パンが焼けた。,面包烤好了。
焼く,やく,yaku,动词(他),烤;烧,0,魚を焼く。,烤鱼。
沸く,わく,waku,动词(自),水烧开;沸腾,0,お湯が沸いた。,水开了。
沸かす,わかす,wakasu,动词(他),烧开;使沸腾,0,お風呂を沸かす。,准备洗澡水（烧热水）。
分かれる,わかれる,wakateru,动词(自),分开;分支,3,意見が二つに分かれる。,意见分歧成两种。
分ける,わける,wakeru,动词(他),划分;分配,2,ケーキを四つに分ける。,把蛋糕分成四份。
浅い,あさい,asai,I形容词,浅的,0,この川は浅い。,这条河很浅。
厚い,あつい,atsui,I形容词,厚的;深厚的,0,この本はとても厚い。,这本书很厚。
薄い,うすい,usui,I形容词,薄的;淡的,0,色が薄い。,颜色浅。
固い,かたい,katai,I形容词,坚硬的;坚定的,0,頭が固い。,脑筋死板（头硬）。
緩い,ゆるい,yurui,I形容词,松的;缓和的,2,靴が緩くて歩きにくい。,鞋太松了不好走路。
鋭い,するどい,surudoi,I形容词,锋利的;尖锐的,3,鋭いナイフ。,锋利的刀。
鈍い,にぶい,nibui,I形容词,迟钝的;不锋利的,2,運動神経が鈍い。,运动神经迟钝。
荒い,あらい,arai,I形容词,粗暴的;剧烈的,0,波が荒い。,浪头很大。
激しい,はげしい,hageshii,I形容词,剧烈的;强烈的,3,雨が激しく降る。,雨下得很大。
惜しい,おしい,oshii,I形容词,可惜的;惋惜的,2,あと一歩で負けて惜しい。,差一步就输了，真可惜。
悔しい,くやしい,kuyashii,I形容词,不甘心的;悔恨的,3,試合に負けて悔しい。,比赛输了很不甘心。
怪しい,あやしい,ayashii,I形容词,可疑的;奇怪的,0,外に怪しい人がいる。,外面有个可疑的人。
珍しい,めずらしい,mezurashii,I形容词,罕见的;新奇的,4,これは珍しい鳥だ。,这是罕见的鸟。
素晴らしい,すばらしい,subarashii,I形容词,极好的;绝佳的,4,素晴らしい景色だ。,绝佳的景色。
詳しい,くわしい,kuwashii,I形容词,详细的;精通的,3,理由を詳しく説明する。,详细说明理由。
親しい,したしい,shitashii,I形容词,亲密的;亲近的,3,彼とは親しい仲だ。,跟他关系亲密。
正しい,ただしい,tadashii,I形容词,正确的,3,正しい答えを選ぶ。,选择正确答案。
苦しい,くるしい,kurushii,I形容词,痛苦的;艰难的,3,生活が苦しい。,生活艰难。
等しい,ひとしい,hitoshii,I形容词,相等的;同样的,3,正解に等しい。,等同于正确答案。
大人しい,おとなしい,otonashii,I形容词,温顺的;安详的,4,彼は大人しい性格だ。,他性格温顺。
喧しい,やかましい,yakamashii,I形容词,吵闹的;啰唆的,4,外がやかましくて眠れない。,外面太吵了睡不着。
若々しい,わかわかしい,wakawakashii,I形容词,年轻的;朝气蓬勃的,5,彼女はいつも若々しい。,她总是显得很年轻。
勇ましい,いさましい,isamashii,I形容词,勇敢的;壮烈的,4,勇ましい姿。,英勇的身姿。
眩しい,まぶしい,mabushii,I形容词,晃眼的;耀眼的,3,太陽が眩しい。,太阳很刺眼。
険しい,けわしい,kewashii,I形容词,险峻的;严厉的,3,険しい山道を登る。,攀登险峻的山路。
等しい,ひとしい,hitoshii,I形容词,相等的;同样的,3,正解に等しい。,等同于正确答案。
貧しい,まずしい,mazushii,I形容词,贫穷的;贫乏的,3,貧しい生活から抜け出す。,摆脱贫穷的生活。
眩しい,まぶしい,mabushii,I形容词,晃眼的;耀眼的,3,太陽が眩しい。,太阳很耀眼。
穏やか,おだやか,odayaka,Na形容词,温和的;平静的,2,穏やかな性格の人。,性格温和的人。
盛ん,さかん,sakan,Na形容词,繁荣的;盛大的;热烈的,0,スポーツが盛んな国。,体育运动盛行的国家。
賑やか,にぎやか,nigiyaka,Na形容词,热闹的;繁华的,2,休日の街は賑やかだ。,休息日的街道很热闹。
不平,ふへい,fuhei,名词/Na形容词,不平;不满,0,不平を言うのはやめよう。,停止抱怨（说不满的话）吧。
不満,ふまん,fuman,名词/Na形容词,不满意;不满足,0,現状に不満がある。,对现状不满意。
不安,ふあん,fuan,名词/Na形容词,不安;担心,0,将来に不安を感じる。,对未来感到不安。
不便,ふべん,fuben,Na形容词,不方便,1,交通が不便な場所。,交通不便的地方。
不幸,ふこう,fukou,名词/Na形容词,不幸;灾祸,0,不幸な事故が起こる。,发生了不幸的事故。
不思議,ふしぎ,fushigi,Na形容词,不可思议的;奇怪的,0,不思議な体験をする。,有了一段不可思议的经历。
不自由,ふじゆう,fujiyuu,Na形容词,不自由;不便;贫困,2,足が不自由な人。,腿脚不便的人。
丁寧,ていねい,teinei,Na形容词,有礼貌的;小心的,1,丁寧な言葉遣い。,有礼貌的措辞。
親切,しんせつ,shinsetsu,Na形容词,亲切的;好心的,1,親切な人に助けられた。,被好心人帮助了。
器用,きよう,kiyou,Na形容词,手巧的;精明的,1,彼女は手先が器用だ。,她手很巧。
不器用,ぶきよう,bukiyou,Na形容词,笨手笨脚的;不灵巧的,2,不器用で料理が苦手だ。,因为笨手笨脚所以不擅长做饭。
わがまま,わがまま,wagamama,Na形容词,任性的;放肆的,0,わがままを言って困らせる。,说任性的话让人为难。
意地悪,いじわる,ijiwaru,Na形容词,坏心眼的;刁难的,2,意地悪なことをする。,做坏心眼的事。
正直,しょうじき,shoujiki,Na形容词/副词,诚实的;老实说,3,正直な感想を述べる。,叙述诚实的感想。
豪華,ごうか,gouka,Na形容词,豪华的;华丽的,1,豪華なホテルに泊まる。,住豪华酒店。
贅沢,ぜいたく,zeitaku,名词/Na形容词,奢侈的;浪费的,3,たまには贅沢をしたい。,偶尔也想奢侈一下。
快適,かいてき,kaiteki,Na形容词,舒适的;舒服的,0,快適な暮らしを送る。,过着舒适的生活。
楽,らく,raku,Na形容词,轻松的;舒适的,2,楽な姿勢で座る。,以轻松的姿势坐着。
派手,はで,hade,Na形容词,华丽的;花哨的,2,派手な色の服を着る。,穿颜色花哨的衣服。
地味,じみ,jimi,Na形容词,朴素的;保守的,2,地味なデザインの靴。,款式朴素的鞋子。
無駄,むだ,muda,Na形容词,徒劳的;浪费的,0,時間を無駄にする。,浪费时间。
貴重,きちょう,kichou,Na形容词,珍贵的;贵重的,0,貴重な経験を積む。,积累珍贵的经验。
相当,そうとう,soutou,Na形容词/副词,相当;合适,0,相当な時間がかかる。,花相当长的时间。
突然,とつぜん,totsuzen,副词,突然,0,突然、雨が降り出した。,突然下起了雨。
いきなり,いきなり,ikinari,副词,突然;冷不防,0,いきなり大声を出さないで。,别突然大声叫。
ようやく,ようやく,youyaku,副词,好不容易;终于,0,ようやく雨が止んだ。,雨终于停了。
ついに,ついに,tsuini,副词,终于;终究,1,ついに実験が成功した。,实验终于成功了。
とうとう,とうとう,toutou,副词,终于;到底,1,とうとう最後まで終わった。,终于到最后结束了。
結局,けっきょく,kekkyoku,副词,结局;结果,0,結局、彼は来なかった。,结果，他没来。
決して,けっして,kesshite,副词,决(不);绝对(不),0,決して諦めない。,决不放弃。
絶対,ぜったい,zettai,副词,绝对,0,絶対、秘密を守る。,绝对保守秘密。
必ず,かならず,kanarazu,副词,一定;必定,0,必ず約束を守る。,一定遵守约定。
是非,ぜひ,zehi,副词,务必;无论如何,1,是非、遊びに来てください。,请务必来玩。
なるべく,なるべく,narubeku,副词,尽可能,0,なるべく早く帰る。,尽可能早回家。
多分,たぶん,tabun,副词,大概;或许,1,明日は多分雨だろう。,明天大概会下雨吧。
恐らく,おそらく,osoraku,副词,恐怕;或许,2,恐らく彼は来ないだろう。,恐怕他不会来了。
もし,もし,moshi,副词,如果;假如,1,もし雨が降ったら中止だ。,如果下雨就中止。
もしも,もしも,moshimo,副词,万一;假如,1,もしもの時は連絡して。,万一有事请联系。
うっかり,うっかり,ukkari,副词/自动词,不留神;不注意,3,うっかり秘密を話してしまった。,不留神把秘密说出来了。
がっかり,がっかり,gakkari,副词/自动词,失望;灰心,3,試験に落ちてがっかりする。,考试没及格感到很失望。
すっきり,すっきり,sukkiri,副词/自动词,舒畅;整洁,3,部屋が片付いてすっきりした。,房间收拾干净了，感觉很舒畅。
ゆっくり,ゆっくり,yukkuri,副词/自动词,慢慢地;充裕地,3,ゆっくり休んでください。,请好好休息。
たっぷり,たっぷり,tappuri,副词/Na形容词,充分;足够,3,時間がたっぷりある。,时间很充裕。
アイディア,アイディア,aidia,名词,主意;想法;创意,1,いいアイディアが浮かんだ。,浮现出一个好主意。
アクセサリー,アクセサリー,akusesarii,名词,首饰;饰品,1,彼女はアクセサリーが好きだ。,她喜欢首饰。
アドバイス,アドバイス,adobaisu,名词/他动词,建议;忠告,1,先生にアドバイスをもらう。,得到老师的建议。
アナウンス,アナウンス,anaunsu,名词/他动词,广播;通知,0,駅でアナウンスが流れる。,车站里响起了广播。
アンケート,アンケート,ankeeto,名词,问卷调查,0,アンケートに協力する。,配合问卷调查。
イメージ,イメージ,imeeji,名词/他动词,印象;形象;想象,2,イメージ通りの部屋だ。,和想象中一样的房间。
インタビュー,インタビュー,intabyuu,名词/他动词,采访;面试,1,有名人にインタビューする。,采访名人。
インフレ,インフレ,infure,名词,通货膨胀,0,インフレで物価が上がる。,因为通货膨胀物价上涨。
エチケット,エチケット,etiketto,名词,礼节;礼仪,2,公共の場でのエチケット。,公共场合的礼仪。
エネルギー,エネルギー,enerugii,名词,能量;精力,2,エネルギーを節約する。,节约能源。
エンジン,エンジン,enjin,名词,引擎;发动机,1,車のエンジンをかける。,启动汽车引擎。
キャンセル,キャンセル,kyanseru,名词/他动词,取消,1,予約をキャンセルする。,取消预约。
キャンプ,キャンプ,kyanpu,名词/自动词,露营,1,週末にキャンプに行く。,周末去露营。
グラフ,グラフ,gurafu,名词,图表,1,グラフを見て分析する。,看图表进行分析。
クラス,クラス,kurasu,名词,班级;阶层,1,クラスで一番背が高い。,在班里个子最高。
グループ,グループ,guruupu,名词,小组;团体;群体,2,グループに分かれて話し合う。,分组进行讨论。
コース,コース,koosu,名词,路线;课程;套餐,1,マラソンのコースを確認する。,确认马拉松路线。
コーチ,コーチ,koochi,名词/他动词,教练;指导,1,テニスのコーチを受ける。,接受网球教练的指导。
コミュニケーション,コミュニケーション,komyunikeeshon,名词,交流;沟通,4,家族とのコミュニケーション。,与家人的沟通。
ゴム,ゴム,gomu,名词,橡胶;橡皮筋,1,髪をゴムで結ぶ。,用皮筋扎头发。
サービス,サービス,saabisu,名词/他动词,服务;折价,1,この店はサービスがいい。,这家店服务很好。
サイン,サイン,sain,名词/自动词,签名;信号,1,契約書にサインする。,在合同上签名。
サンプル,サンプル,sanpuru,名词,样品;样本,1,化粧品のサンプルをもらう。,领取化妆品样品。
スケジュール,スケジュール,sukejuuru,名词,日程;时间表,2,スケジュールを調整する。,调整日程。
スタート,スタート,sutaato,名词/自动词,出发;开始,2,レースがスタートした。,比赛开始了。
スタイル,スタイル,sutairu,名词,风格;身材,0,彼女はスタイルがいい。,她身材很好。
スタッフ,スタッフ,sutaffu,名词,工作人员,1,スタッフが丁寧に対応する。,工作人员礼貌地应对。
スピード,スピード,supiido,名词,速度,0,スピードを落として運転する。,减速行驶。
セット,セット,setto,名词/他动词,成套;设定,1,ハンバーガーのセットを頼む。,点一份汉堡套餐。
センター,センター,sentaa,名词,中心;中枢,1,ショッピングセンターに行く。,去购物中心。
タイプ,タイプ,taipu,名词,类型;型号,1,彼は私の好きなタイプだ。,他是我想喜欢的类型。
ダイヤ,ダイヤ,daiya,名词,时刻表;钻石,1,電車のダイヤが乱れる。,电车时刻表乱了。
タイトル,タイトル,taitoru,名词,标题;题目,1,映画のタイトルを決める。,决定电影的标题。
チャンス,チャンス,chansu,名词,机会,1,チャンスを逃さないで。,不要错过机会。
データ,データ,deeta,名词,数据;资料,1,パソコンのデータを保存する。,保存电脑数据。
デザイン,デザイン,dezain,名词/他动词,设计,2,おしゃれなデザインの服。,设计时尚的衣服。
トラブル,トラブル,toraburu,名词/自动词,纠纷;故障,2,近所の人とトラブルになる。,与邻居发生纠纷。
トレーニング,トレーニング,toreeningu,名词/自动词,训练;练习,2,毎日トレーニングを欠かさない。,每天坚持训练。
ドレス,ドレス,doresu,名词,礼服;连衣裙,1,結婚式でドレスを着る。,在婚礼上穿礼服。
ニュース,ニュース,nyuusu,名词,新闻,1,夜のニュースをチェックする。,查看晚间新闻。
ネットワーク,ネットワーク,nettowaaku,名词,网络,4,コンピューターのネットワーク。,计算机网络。
バランス,バランス,baransu,名词,平衡,0,栄養のバランスを考える。,考虑营养均衡。
ビデオ,ビデオ,bideo,名词,视频;录像,1,ビデオを撮影する。,拍摄视频。
プラス,プラス,purasu,名词/他动词,增加;正号;加,1,経験は将来にプラスになる。,经验对未来有好处。
プロ,プロ,puro,名词,职业;专业,1,プロの選手を目指す。,以职业选手为目标。
ベルト,ベルト,beruto,名词,皮带;腰带,0,ズボンのベルトを締める。,系上裤子的皮带。
マイナス,マイナス,mainasu,名词/自动词,减少;负号;减,1,気温がマイナス５度になる。,气温达到零下5度。
マナー,マナー,manaa,名词,礼貌;礼仪,1,食事のマナーを守る。,遵守用餐礼仪。
メニュー,メニュー,menyuu,名词,菜单,1,レストランでメニューを見る。,在餐厅看菜单。
メッセージ,メッセージ,messeegi,名词,消息;信息,1,友人にメッセージを送る。,给朋友发信息。
ルール,ルール,ruuru,名词,规则,1,交通ルールを守る。,遵守交通规则。
モデル,モデル,moderu,名词,模特;模型,1,彼女はプロのモデルだ。,她是个职业模特。
リサイクル,リサイクル,risaikuru,名词/他动词,回收;再利用,2,空き缶をリサイクルする。,回收空罐子。
レシート,レシート,reshiito,名词,收据;小票,0,スーパーでレシートをもらう。,在超市领取小票。
レンズ,レンズ,renzu,名词,镜片;镜头,1,カメラのレンズを拭く。,擦拭相机镜头。
ロッカー,ロッカー,rokkaa,名词,寄物柜;储物柜,1,駅のロッカーに荷物を預ける。,把行李存在车站的储物柜里。
ロボット,ロボット,robotto,名词,机器人,0,最新のロボットを開発する。,研发最新的机器人。
追いつく,おいつく,oitsuku,动词(自),赶上;追上,3,前のランナーに追いつく。,追上前面的跑步者。
追い越す,おいこす,oikosu,动词(他),超过;赶过,3,前の車を追い越す。,超过前面的车。
応援,おうえん,ooen,名词/他动词,加油;声援,0,地元のチームを応援する。,为家乡的队伍加油。
落ち着く,おちつく,ochitsuku,动词(自),静下来;沉着;安定,0,落ち着いて話してください。,请冷静地说话。
思い出す,おもいだす,omoidasu,动词(他),想起;回忆,4,子供の頃のことを思い出す。,想起小时候的事情。
思い込む,おもいこむ,omoikomu,动词(自),深信;固执地认为,4,自分が正しいと思い込む。,固执地认为自己是对的。
思いつく,おもいつく,omoitsuku,动词(他),想到;想起,4,いい案を思いついた。,想到了一个好主意。
書き直す,かきなおす,kakinaosu,动词(他),改写;重写,4,作文を書き直す。,重写作文。
片付く,かたづく,kataduku,动词(自),收拾好;解决,4,仕事がようやく片付いた。,工作终于处理完了。
気に入る,きにいる,kiniiru,词组,中意;喜欢,0,このデザインが気に入った。,我中意这个设计。
気にする,きにする,kinisuru,词组,介意;在乎,0,細かいことは気にしないで。,别在意细枝末节。
気になる,きになる,kininaru,词组,担心;挂念,0,明日の天気が気になる。,担心明天的天气。
区切る,くぎる,kugiru,动词(他),隔开;截止,2,文章を句読点で区切る。,用标点符号分隔文章。
組み立てる,くみたてる,kumitateru,动词(他),组装;构造,0,家具を組み立てる。,组装家具。
繰り返す,くりかえす,kurikaesu,动词(他),重复;反复,3,同じ間違いを繰り返さない。,不要重复同样的错误。
心強い,こころづよい,kokoroduyoi,I形容词,受鼓舞的;心里的,4,あなたがいてくれて心強い。,有你在我心里很踏实。
心細い,こころぼそい,kokorobosoi,I形容词,胆怯的;心里没底,4,一人で行くのは心細い。,一个人去心里没底。
差し上げる,さしあげる,sashiageru,动词(他),给(长辈);赠送,0,先生にプレゼントを差し上げる。,送给老师礼物。
払い戻す,はらいもどす,haraimodosu,动词(他),退还;退款,4,チケット代を払い戻す。,退还门票钱。
引き出す,ひきだす,hikidasu,动词(他),抽出;取出(钱),3,銀行でお金を引き出す。,在银行取钱。
引き受ける,ひきうける,hikiukeru,动词(他),承担;接手,4,面倒な仕事を引き受ける。,接手麻烦的工作。
申し込む,もうしこむ,moushikomu,动词(他),申请;提议,4,ツアーに申し込む。,报名参加旅行团。
目立つ,めだつ,medatsu,动词(自),显眼;引人注目,2,彼は背が高いので目立つ。,他因为个子高所以很显眼。
持ち上げる,もちあげる,mochiageru,动词(他),举起;抬起,0,重い荷物を持ち上げる。,举起沉重的行李。
払い込む,はらいこむ,haraikomu,动词(他),缴纳;分期付款,4,授業料を銀行で払い込む。,在银行缴纳学费。
話し合う,はなしあう,hanashiau,动词(自),交谈;协商,4,将来について話し合う。,就未来进行协商。
間に合う,まにあう,maniau,动词(自),赶得上;来得及,3,電車に間に合った。,赶上了电车。
見直す,みなおす,minaosu,动词(他),重看;重新评估,0,計画をもう一度見直す。,把计划再重新审视一遍。
見送る,みおくる,miokuru,动词(他),目送;送行;搁置,0,友達を駅で見送る。,在车站送朋友。
見慣れる,みなれる,minareru,动词(自),看惯;眼熟,0,見慣れない人が立っている。,站着一个面生的人。
診る,みる,miru,动词(他),诊断;诊察,1,医者に診てもらう。,请医生看病。
蒸す,むす,musu,动词(他/自),蒸;闷热,0,シュウマイを蒸す。,蒸烧麦。
命じる,めいじる,meijiru,动词(他),命令;任命,0,部下に作業を命じる。,命令下属工作。
恵まれる,めぐまれる,megumareu,动词(自),富有;眷顾;恩赐,0,才能に恵まれている。,富有才能。
儲ける,もうける,moukeru,动词(他),赚钱;赚取,3,株で大金を儲ける。,炒股赚了大钱。
基づく,もとづく,motoduku,动词(自),基于;根据,3,事実に基づいて判断する。,根据事实判断。
雇う,やとう,yatou,动词(他),雇佣,2,新しいスタッフを雇う。,雇佣新员工。
譲る,ゆずる,yuzuru,动词(他),让给;谦让,0,お年寄りに席を譲る。,给老人让座。
汚れる,よごれる,yogoreru,动词(自),脏;弄脏,0,服が泥で汚れた。,衣服被泥弄脏了。
寄る,よる,yoru,动词(自),靠近;顺便去,0,帰りにスーパーに寄る。,回家时顺便去趟超市。
喜ぶ,よろこぶ,yorokobu,动词(自/他),喜悦;高兴,3,合格を家族が喜ぶ。,家人为及格感到高兴。
略す,りゃくす,ryakusu,动词(他),省略;简写,1,名前を略して書く。,简写名字。
目指す,めざす,mezasu,动词(他),以...为目标,0,プロの歌手を目指す。,以职业歌手为目标。
あるいは,あるいは,aruiwa,连词,或者;或是,2,メールあるいは電話で知らせる。,通过邮件或者是电话通知。
それとも,それとも,soretomo,连词,或者;还是,3,コーヒーにしますか、それとも紅茶ですか。,您喝咖啡，还是红茶？
そして,そして,soshite,连词,而且;然后,0,雨が降り、そして風も強くなった。,下雨了，而且风也变大了。
それに,それに,soreni,连词,而且;再加上,0,この店は安くて、それに美味しい。,这家店便宜，而且还好吃。
それどころか,それどころか,soredokoroka,连词,岂止如此;反而,3,回復するどころか、悪化している。,不但没恢复，反而恶化了。
したがって,したがって,shitagatte,连词,因此;因而,0,不景気だ。したがって、売れ行きが悪い。,经济不景气。因此，销售情况不好。
ただし,ただし,tadashi,连词,但是;只不过,1,年中無休。ただし、年末年始は除く。,全年无休。但年底年初除外。
だから,だから,dakara,连词,所以;因此,1,雨だ。だから、傘を持っていく。,下雨了。所以带伞去。
ですから,ですから,desukara,连词,所以(礼貌),1,時間はあります。ですから、急がなくていい。,有时间。所以不用急。
ところで,ところで,tokorode,连词,话说回来;即便,3,ところで、明日の予定は？,话说回来，明天的计划是？
さて,さて,sate,连词,那么(转换话题),1,さて、次の問題に移りましょう。,那么，进入下一个问题吧。
もっとも,もっとも,mottomo,连词/Na形容词,虽然这么说;理所当然,3,彼は合格するよ。もっとも、運が良ければね。,他会合格的。虽然这么说，得运气好才行。
要するに,ようするに,yoosuruni,副词,总而言之,2,要するに、彼は行きたくないのだ。,总而言之，他就是不想去。
結局,けっきょく,kekkyoku,副词/名词,最后;结果,0,色々悩んだが、結局買わなかった。,烦恼了半天，结果还是没买。
